"Reference","Qty","Value","MPN","Manufacturer","DKPN"
"C1","1","10uF","GRM188R60J106KE47D","Murata Electronics","490-12538-1-ND"
"C2,C3,C4,C5","4","100nF","GRM188R72A104MA35D","Murata Electronics","490-16327-1-ND"
"D1","1","IN-PI15TAT","IN-PI15TAT5R5G5B","Inolux","1830-IN-PI15TAT5R5G5BCT-ND"
"J1","1","Feather_Header_01x16","PREC016SAAN-RC","Sullins Connector Solutions","S1012EC-16-ND"
"J2","1","Feather_Header_01x12","PREC012SAAN-RC","Sullins Connector Solutions","S1012EC-12-ND"
"J3","1","MEM2061","MEM2061-01-188-00-A","GCT","2073-MEM2061-01-188-00-ACT-ND"
"J4","1","STEMMA-QT","SM04B-SRSS-TB","JST Sales America Inc.","455-SM04B-SRSS-TBCT-ND"
"R1,R2,R3,R4,R5,R6,R7,R10","8","10K","CRCW060310K0JNEA","Vishay Dale","541-10KGCT-ND"
"R8,R9","2","4K7","CRCW06034K70JNEA","Vishay Dale","541-4.7KGCT-ND"
"R11","1","470R","CRCW0603470RJNEB","Vishay Dale","541-CRCW0603470RJNEBCT-ND"
"SW1","1","JS102011JAQN","JS102011JAQN","C&K","CKN10720CT-ND"
"U1","1","BME280","BME280","Bosch Sensortec","828-1063-1-ND"
"U2","1","M24C02","M24C02-FDW6TP","STMicroelectronics","497-15746-1-ND"
